address,latitude,longitude
"149 Oneta St Athens,  GA",33.9704747,-83.3894553
"484 2nd St Macon,  GA",32.8354142,-83.6295846
"202 N West St Greensboro,  GA",33.57777069999999,-83.1843684
"265 Brew St Omaha,  GA",32.1419896,-85.0008885
"1440 Dutch Valley Pl NE Ste 2001 Atlanta,  GA",33.7931819,-84.36854009999999
"5368 East Mountain Street Stone Mountain,  GA",33.808483,-84.17028220000002
"500 10th St NE Atlanta,  GA",33.7822276,-84.369258
"57 North Main Street Jasper,  GA",34.4687007,-84.43065229999999
"56-A Fieldstone Village Dr Rock Spring,  GA",34.8516094,-85.2512374
"450-B Third Street Macon,  GA",32.8346314,-83.6275684
"8601 Dunwoody Pl Sandy Springs,  GA",33.9926763,-84.3419625
"5486 Chamblee Dunwoody Rd #14 Atlanta,  GA",33.9473441,-84.33755049999999
"6370 Powers Ferry Rd NW Sandy Springs,  GA",33.9043087,-84.4304779
"120 Pine Ave Albany,  GA",31.5779598,-84.1501505
"940 Columbia Dr Carrollton,  GA",33.6123349,-85.10335599999999
"1998 Delk Industrial Blvd SE Marietta,  GA",33.9243992,-84.4957936
"1998 Delk Industrial Blvd SE Marietta,  GA",33.9243992,-84.4957936
"4637 South Main Street Acworth,  GA",34.0638329,-84.6722462
"141 Railroad St Canton,  GA",34.2350719,-84.49526089999999
"6255 Riverview Rd Smyrna,  GA",33.8014264,-84.5027564
"105 Elm St Woodstock,  GA",34.0999481,-84.5205087
"1678 Barfield Run NW Atlanta,  GA",33.809591,-84.44982639999999
"1150 5th St Bldg 61 Augusta,  GA",33.4621532,-81.96392259999999
"345 Gilmer Ferry Rd Ball Ground,  GA",34.33729,-84.3756876
"1279 Seaboard Industrial Blvd NW Atlanta,  GA",33.807618,-84.4298302
"530 Flat Shoals Ave SW Atlanta,  GA",33.7399222,-84.3449205
"813 5th St Augusta,  GA",33.4647003,-81.96362429999999
"630 East Lake Drive Decatur,  GA",33.7604875,-84.30462969999999
"840 Franklin Ct  Marietta,  GA",33.9275897,-84.4978885
"1738 Macarthur Blvd NW Atlanta,  GA",33.8133215,-84.4448889
"1311 Logan Cir NW Atlanta,  GA",33.8057047,-84.4299856
"22 Main St Senoia,  GA",33.3005971,-84.554548
"574 Indian St Savannah,  GA",32.084519,-81.09848810000001
"1325 Newcastle Brunswick,  GA",31.147267,-81.4949786
"407 N Clayton St Lawrenceville,  GA",33.9610738,-83.98850039999999
"20 Skin Alley Norcross,  GA",33.941851,-84.2127766
"107 E Lathrop Ave Savannah,  GA",32.0869979,-81.11180689999999
"231 Collins Industrial Blvd Athens,  GA",33.9848857,-83.3487574
"123 N Lumpkin St Monroe,  GA",33.7954412,-83.7126904
"350 E Howell St Hartwell,  GA",34.3523132,-82.9326632
"114 E Broughton Street Bainbridge,  GA",30.9056885,-84.5760464
"60 Butler Street Midway,  GA",31.8008144,-81.4199795
"300 Marietta St NW Atlanta,  GA",33.7614221,-84.39629459999999
"1611 Ellsworth Industrial Blvd NW Atlanta,  GA",33.7978134,-84.4247342
"343 US-23 Suwanee,  GA",34.0569364,-84.0660051
"26 Old Allen Rd Commerce,  GA",34.1728361,-83.4437621
"195 Ottley Dr NE Atlanta,  GA",33.808012,-84.3810636
"4500 SR-136 Talking Rock,  GA",34.5100373,-84.50601689999999
"1939 Helen Hwy Cleveland,  GA",34.6268635,-83.753258
"755 Battery Ave SE Atlanta,  GA",33.889928,-84.4686388
"265 Newton Bridge Rd Athens,  GA",33.980489,-83.3967156
"1737 Ellsworth Industrial Blvd., NW Atlanta,  GA",33.8025994,-84.4267036
"3003 Morrison Moore Pkwy E Dahlonega,  GA",34.5665532,-83.9679357
"2866 Washington St AVONDALE ESTATES,  GA",33.7776879,-84.2727106
"6655 James B Rivers Dr Stone Mountain,  GA",33.8115269,-84.17075609999999
"215 Ottley Dr Atlanta,  GA",33.8088369,-84.3800782
"292 Moreland Ave NE Atlanta,  GA",33.7622989,-84.3499736
"121 New St Decatur,  GA",33.7725977,-84.28503070000001
"777 Memorial Dr SE Atlanta,  GA",33.7463761,-84.36048819999999
"249 Ponce de Leon Ave NE Atlanta,  GA",33.772263,-84.379285
"944 Germany Rd Gay,  GA",33.087741,-84.5369832
"2003 S Bibb Dr Tucker,  GA",33.8427492,-84.2070463
"211 E Trinity Pl Decatur,  GA",33.7724413,-84.29462389999999
"12 West 41st St Savannah,  GA",32.0541172,-81.1021016
"66 Norcross St Roswell,  GA",34.0257873,-84.359093
"248 N Main St Cornelia,  GA",34.5133628,-83.5277383
"1010 White St SW Atlanta,  GA",33.7301815,-84.419203
"135B Maple St Decatur,  GA",33.7764719,-84.27616739999999
"308 Main St Lagrange,  GA",33.034826,-85.03138469999999
